iter	Passed	Remaining
0	0	577
1	1	535
2	1	504
3	1	485
4	2	485
5	2	475
6	3	466
7	3	457
8	4	450
9	4	444
10	4	440
11	5	436
12	5	434
13	6	432
14	6	429
15	6	426
16	7	424
17	7	423
18	8	422
19	8	421
20	9	419
21	9	418
22	9	416
23	10	415
24	10	413
25	10	411
26	11	410
27	11	408
28	12	407
29	12	406
30	12	405
31	13	403
32	13	403
33	14	402
34	14	400
35	14	399
36	15	399
37	15	398
38	16	398
39	16	398
40	17	398
41	17	397
42	17	396
43	18	396
44	18	395
45	19	395
46	19	393
47	19	393
48	20	393
49	20	390
50	20	388
51	21	389
52	21	389
53	22	389
54	22	387
55	22	385
56	23	383
57	23	382
58	24	382
59	24	383
60	24	383
61	25	383
62	28	427
63	30	439
64	30	444
65	31	443
66	31	442
67	32	441
68	32	438
69	32	437
70	33	435
71	33	434
72	34	431
73	34	431
74	34	428
75	35	428
76	35	426
77	35	425
78	36	423
79	36	422
80	37	420
81	37	419
82	37	415
83	37	413
84	38	413
85	38	411
86	39	411
87	39	409
88	39	408
89	40	407
90	40	406
91	41	407
92	41	406
93	42	405
94	42	404
95	42	402
96	43	402
97	43	400
98	43	400
99	44	399
100	44	398
101	46	411
102	47	410
103	47	408
104	47	406
105	48	405
106	48	405
107	48	403
108	49	403
109	49	401
110	50	400
111	50	399
112	50	398
113	51	397
114	51	396
115	51	395
116	52	393
117	52	392
118	52	392
119	53	390
120	53	390
121	53	388
122	54	387
123	54	386
124	55	385
125	55	384
126	55	383
127	56	381
128	56	381
129	56	380
130	57	379
131	57	378
132	57	377
133	58	376
134	58	376
135	59	375
136	59	374
137	59	373
138	60	373
139	60	371
140	60	371
141	61	369
142	61	368
143	61	368
144	62	367
145	62	366
146	63	366
147	63	365
148	63	364
149	64	364
150	64	363
151	65	362
152	65	361
153	65	361
154	66	360
155	66	359
156	66	358
157	67	358
158	67	357
159	67	356
160	68	355
161	68	354
162	68	353
163	69	353
164	69	354
165	70	353
166	70	352
167	71	352
168	71	351
169	71	350
170	72	350
171	72	349
172	73	349
173	73	348
174	73	347
175	74	347
176	74	346
177	74	345
178	75	345
179	75	344
180	76	344
181	76	343
182	76	342
183	77	342
184	77	341
185	77	340
186	78	340
187	78	339
188	79	339
189	79	338
190	79	338
191	80	337
192	80	336
193	80	336
194	81	335
195	81	335
196	82	334
197	82	333
198	82	333
199	83	332
200	83	331
201	83	331
202	84	330
203	84	330
204	84	329
205	85	329
206	85	328
207	86	328
208	86	327
209	86	327
210	87	326
211	87	326
212	88	325
213	88	324
214	88	324
215	89	323
216	89	323
217	89	322
218	90	322
219	90	321
220	91	321
221	91	320
222	91	320
223	92	321
224	92	320
225	93	319
226	93	319
227	94	318
228	94	318
229	94	317
230	95	317
231	95	316
232	96	316
233	96	315
234	96	314
235	97	314
236	97	313
237	97	313
238	98	312
239	100	316
240	100	316
241	100	315
242	101	315
243	101	314
244	102	314
245	102	313
246	102	313
247	103	312
248	103	312
249	103	311
250	104	311
251	104	310
252	105	310
253	105	309
254	105	309
255	106	308
256	106	308
257	107	308
258	107	307
259	107	307
260	108	306
261	109	307
262	109	307
263	109	306
264	110	305
265	110	305
266	111	304
267	111	304
268	111	303
269	112	303
270	112	302
271	112	302
272	113	301
273	113	301
274	114	300
275	114	300
276	114	299
277	115	299
278	115	298
279	115	298
280	116	297
281	117	300
282	118	299
283	118	298
284	118	298
285	119	297
286	119	297
287	120	296
288	120	296
289	120	295
290	121	295
291	121	294
292	121	294
293	122	293
294	122	293
295	123	292
296	123	292
297	123	291
298	124	291
299	124	291
300	125	290
301	125	290
302	126	289
303	126	289
304	126	288
305	127	288
306	127	287
307	127	287
308	128	286
309	128	286
310	129	285
311	129	285
312	129	284
313	130	284
314	130	283
315	130	283
316	131	282
317	131	282
318	132	281
319	132	281
320	132	280
321	133	280
322	133	280
323	134	279
324	134	279
325	134	278
326	135	278
327	135	277
328	135	277
329	136	276
330	136	275
331	136	275
332	137	274
333	137	274
334	137	273
335	138	273
336	138	272
337	139	272
338	139	272
339	140	272
340	141	272
341	141	273
342	142	273
343	143	273
344	144	274
345	145	274
346	146	274
347	146	275
348	147	275
349	148	276
350	149	276
351	150	276
352	151	276
353	152	277
354	154	280
355	155	280
356	155	280
357	156	281
358	157	281
359	158	281
360	159	282
361	160	282
362	161	282
363	161	283
364	162	283
365	163	283
366	164	283
367	165	284
368	166	284
369	167	284
370	168	284
371	168	285
372	169	284
373	169	283
374	169	283
375	170	282
376	170	281
377	170	281
378	171	280
379	171	279
380	171	279
381	172	278
382	172	277
383	172	277
384	173	276
385	173	275
386	173	275
387	173	274
388	174	273
389	174	272
390	176	274
391	180	279
392	180	279
393	182	280
394	182	279
395	183	279
396	183	278
397	184	278
398	184	277
399	184	277
400	185	276
401	185	276
402	186	275
403	186	275
404	186	274
405	187	273
406	187	273
407	187	272
408	188	272
409	188	271
410	189	270
411	189	270
412	189	269
413	190	269
414	190	268
415	191	268
416	191	267
417	191	267
418	192	266
419	192	265
420	192	265
421	193	264
422	193	263
423	193	263
424	194	262
425	194	262
426	195	261
427	195	261
428	196	260
429	196	260
430	196	260
431	197	259
432	197	258
433	197	258
434	198	257
435	198	256
436	199	256
437	199	255
438	199	255
439	200	255
440	200	254
441	201	254
442	201	253
443	202	253
444	202	252
445	203	252
446	203	251
447	203	251
448	204	250
449	204	250
450	205	249
451	205	249
452	205	248
453	206	247
454	206	247
455	206	246
456	207	246
457	207	245
458	207	245
459	208	244
460	208	243
461	208	243
462	209	242
463	209	242
464	210	241
465	210	241
466	211	240
467	211	240
468	211	239
469	212	239
470	212	238
471	212	237
472	212	237
473	213	236
474	213	236
475	214	235
476	214	235
477	215	234
478	215	234
479	215	233
480	216	233
481	216	232
482	217	232
483	217	232
484	217	231
485	218	230
486	218	230
487	218	229
488	219	229
489	219	228
490	219	227
491	220	227
492	220	226
493	220	226
494	221	225
495	221	225
496	221	224
497	222	224
498	222	223
499	223	223
500	223	222
501	224	222
502	224	222
503	225	221
504	225	221
505	226	220
506	226	220
507	226	219
508	227	219
509	227	218
510	227	218
511	228	217
512	228	217
513	229	216
514	229	215
515	229	215
516	229	214
517	230	214
518	230	213
519	230	213
520	231	212
521	231	212
522	232	211
523	232	211
524	232	210
525	233	210
526	233	209
527	234	209
528	234	208
529	234	208
530	235	207
531	235	207
532	235	206
533	236	206
534	236	205
535	237	205
536	237	204
537	237	204
538	238	203
539	238	203
540	239	202
541	239	202
542	240	202
543	240	201
